,username,tweet,reply,like
0,ganjarpranowo,"Kita terus lari kencang untuk memperbaiki ruas-ruas jalan yang rusak. Beberapa masih proses, beberapa lainnya lagi sudah jadi. Seperti jalan milik Kabupaten Kendal ini yang kita bangun dengan anggaran Rp 3 miliar. 

Pembangunan ini berawal dari aduan masyarakat yang masuk ke Pemkab Kendal. Kemudian saat Musrenbang Pemkab Kendal mengajukan bantuan pembangunan kepada kami dan langsung kami eksekusi.

Salah satu basic pekerjaan yang kami lakukan memang berasal dari laporan masyarakat. Ada yang sesuai jalur dan sering yang asal lapor. Tapi kemanapun laporan diberikan pasti akan diterima oleh pihak bersangkutan. 

Inilah cara kerja yang kami terapkan di Jawa Tengah. Gotong royong. Semoga cara ini memperlancar pembangunan yang kita lakukan, baik itu pembangunan infrastruktur maupun pembangunan SDM. 

Dijaga bareng-bareng nggih bapak ibu.",180,1266
1,masakanrasako,"@geloraco WARGA JATENG ASLI NGAPAK 

MENGELUH KARENA JALAN NYA RUSAK : https://t.co/Yst6PLbxyb",2,31
2,sahabatganjar,"Perbaikan jalan dan jalanan yang bagus adalah salah satu aspek penting untuk membangun konektifitas antar daerah.

Karena hal tersebut, Ganjar Pranowo sering turun ke lapangan untuk melakukan pengecekan dan langsung sigap membenarkan jalan yang rusak.

Seberapa pentingnya pembangunan infrastruktur ? Berikut penjelasan dari Pak Ganjar Pranowo.

#SahabatGanjar #GanjarPranowo #Ganjar #MEnangkanGAnjar #GenerasiGotongRoyong",0,15
3,jtvbanyuwangi,"jalan penghubung Desa rusak, pemuda geram #news #jtv #jtvbanyuwangi #banyuwangi #jawatimur #trendingindonesia #trending https://t.co/mnv0ZQ5EnL",0,0
4,MasmuhMuhaimin,Bukti jawa tengah punya banyak dalan bosok(jalan rusak).ini kesaksian ustazah Mumpuni https://t.co/2V54DYe64L,1,37
5,astraelda,"Aku cemburu!! ❌
JALAN LU YANG GUA RUSAK. ✅ https://t.co/cDioAKeCR7",0,0
6,piyopikavet,"Vibe yg sama.. ga ada garasi, dikasilah atap.. air turun jatuh ke jalan trus rusak. Sebelum rumahnya ada polisi tidur yg tinggi banget. Ternyata space garasi dibuat warung. Orang bs nyangkut kena polisi tidur, abis itu beralih pandangan ke warung dia. Plot luar biasa emang https://t.co/9eXpy25aoh",118,4919
7,HidayatNatari,"Karena jalan Rusak tak kunjung diperbaiki Warga Protes menanam pohon pisang di tengah jalan.
Hallo Pak Gubernur Jateng, apa kabar?
 https://t.co/94RqnIqGHl",6,219
8,averagetrixie,"Kudus - Salatiga cuma 1,5 meanwhile jalan rusak + musuh truk 👏 https://t.co/XUHnC4eTxz",0,0
9,FPKSDPRRI,Aleg PKS Desak Kementerian PUPR Segera Perbaiki Jalan Rusak di Riau https://t.co/1pdugiVump lewat @FPKSDPRRI | @syahrulaidi_mz #PKSpembelaRakyat,6,84
10,PKSejahtera,"Aleg PKS Desak Kementerian PUPR Segera Perbaiki Jalan Rusak di Riau

""Jadi saya minta segera diperbaiki karena sudah lama rusaknya, Jangan sampai karena jalan rusak kegiatan masyarakat jadi terganggu,” ~@syahrulaidi_mz

https://t.co/vjSqNNoUgH https://t.co/4FmuXUnR3y",13,179
11,detikcom,"Masyarakat desa di India tertipu proyek pengaspalan jalan. Jalanan rusak di sana tak benar-benar diaspal tapi cuma ditutup karpet!

https://t.co/lg6MLx4vm8",23,163
12,liputan6dotcom,KSP: Pemerintah Pusat Ikut Tangani 24 Ruas Jalan Rusak di Aceh https://t.co/UZXnVvUiHw,1,4
